0.00.076.277 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.076.771 W srv  llama_server: -----------------
0.00.076.775 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.076.775 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.076.776 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.076.776 W srv  llama_server: -----------------
0.00.078.065 I srv    load_model: loading model '/workspace/template-repos/template-890/repo/models/qwen2.5-coder-7b-instruct-q4_k_m.gguf'
0.00.415.631 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.01.705.214 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'false'
0.01.709.337 I srv  llama_server: model loaded
0.01.709.345 I srv  llama_server: listening on http://127.0.0.1:8081
0.07.195.630 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.07.195.887 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.08.012.945 I slot print_timing: id  3 | task 0 | prompt eval time =     460.60 ms /   941 tokens (    0.49 ms per token,  2042.97 tokens per second)
0.08.012.953 I slot print_timing: id  3 | task 0 |        eval time =     356.42 ms /    37 tokens (    9.63 ms per token,   103.81 tokens per second)
0.08.012.953 I slot print_timing: id  3 | task 0 |       total time =     817.02 ms /   978 tokens
0.08.012.961 I slot print_timing: id  3 | task 0 |    graphs reused =         36
0.08.013.347 I slot      release: id  3 | task 0 | stop processing: n_tokens = 977, truncated = 0
0.08.036.932 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.796 (> 0.100 thold), f_keep = 0.963
0.08.037.144 I slot launch_slot_: id  3 | task 38 | processing task, is_child = 0
0.08.703.280 I slot print_timing: id  3 | task 38 | prompt eval time =      96.37 ms /   241 tokens (    0.40 ms per token,  2500.80 tokens per second)
0.08.703.288 I slot print_timing: id  3 | task 38 |        eval time =     569.75 ms /    59 tokens (    9.66 ms per token,   103.56 tokens per second)
0.08.703.288 I slot print_timing: id  3 | task 38 |       total time =     666.11 ms /   300 tokens
0.08.703.290 I slot print_timing: id  3 | task 38 |    graphs reused =         93
0.08.703.382 I slot      release: id  3 | task 38 | stop processing: n_tokens = 1240, truncated = 0
0.08.727.975 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.654 (> 0.100 thold), f_keep = 1.000
0.08.728.180 I slot launch_slot_: id  3 | task 98 | processing task, is_child = 0
0.09.128.653 I slot print_timing: id  3 | task 98 | prompt eval time =     237.72 ms /   657 tokens (    0.36 ms per token,  2763.80 tokens per second)
0.09.128.660 I slot print_timing: id  3 | task 98 |        eval time =     162.74 ms /    17 tokens (    9.57 ms per token,   104.46 tokens per second)
