phase,concurrency,t_rel_s,watt,gpu_use_pct,mclk_mhz,sclk_mhz,fclk_mhz,socclk_mhz
idle,0,0,16,0,96,0,145,500
idle,0,2,16,0,96,0,145,500
idle,0,4,16,0,96,0,145,500
idle,0,6,16,0,96,0,145,500
idle,0,8,16,0,96,0,145,500
idle,0,10,16,0,96,0,145,500
idle,0,12,16,0,96,0,145,500
idle,0,14,16,0,96,0,145,500
idle,0,16,16,0,96,0,145,500
idle,0,18,16,0,96,0,145,500
idle,0,20,16,0,96,0,145,500
idle,0,22,16,0,96,0,145,500
idle,0,24,16,0,96,0,145,500
idle,0,26,16,0,96,0,145,500
idle,0,28,16,0,96,0,145,500
idle,0,30,16,0,96,0,145,500
load,1,0,16,9,96,193,145,500
load,1,2,203,93,1124,2157,145,1200
load,1,4,212,98,1124,2177,145,1200
load,1,6,209,98,1124,2179,145,1200
load,1,8,213,91,1124,2179,145,1200
load,1,10,210,100,1124,2179,145,1200
load,1,12,214,98,1124,2178,145,1200
load,1,14,210,100,1124,2181,145,1200
load,1,16,214,100,1124,2178,145,1200
load,1,18,211,98,1124,2183,145,1200
load,1,20,215,100,1124,2191,145,1200
load,1,22,212,100,1124,2184,145,1200
load,1,24,215,98,1124,2191,145,1200
load,1,26,212,98,1124,2179,145,1200
load,1,28,216,98,1124,2185,145,1200
load,1,30,211,100,1124,2202,145,1200
load,1,32,216,100,1124,2185,145,1200
load,1,34,211,98,1124,2190,145,1200
load,1,36,216,100,1124,2209,145,1200
load,1,38,212,100,1124,2189,145,1200
load,1,40,217,86,1124,2213,145,1200
load,1,42,213,98,1124,2185,145,1200
load,1,44,217,100,1124,2192,145,1200
load,1,46,213,98,1124,2178,145,1200
load,1,48,217,100,1124,2190,145,1200
load,1,50,213,100,1124,2177,145,1200
load,1,52,218,100,1124,2192,145,1200
load,1,54,214,98,1124,2171,145,1200
load,1,56,217,98,1124,2191,145,1200
load,1,58,214,98,1124,2166,145,1200
load,1,60,218,98,1124,2190,145,1200
load,1,62,219,53,1124,1827,145,1200
load,1,64,218,100,1124,2188,145,1200
load,1,66,219,98,1124,2192,145,1200
load,4,0,21,100,1124,1086,145,1200
load,4,2,223,100,1124,2134,145,1200
load,4,4,225,64,1124,2131,145,1200
load,4,6,225,97,1124,2134,145,1200
load,4,8,217,100,1124,2134,145,1200
load,4,10,227,97,1124,2136,145,1200
load,4,12,225,94,1124,2109,145,1200
load,4,14,226,97,1124,2140,145,1200
load,4,16,218,97,1124,2130,145,1200
load,4,18,227,85,1124,2026,145,1200
load,4,20,228,100,1124,2159,145,1200
load,4,22,227,100,1124,2142,145,1200
load,4,24,219,100,1124,2151,145,1200
load,4,26,228,100,1124,2141,145,1200
load,4,28,228,97,1124,2140,145,1200
load,4,30,229,97,1124,2137,145,1200
load,4,32,220,96,1124,2133,145,1200
load,4,34,230,97,1124,2143,145,1200
load,4,36,229,97,1124,2145,145,1200
load,4,38,230,100,1124,2146,145,1200
load,4,40,220,97,1124,2129,145,1200
load,4,42,230,100,1124,2159,145,1200
load,4,44,229,94,1124,2117,145,1200
load,4,46,231,100,1124,2161,145,1200
load,4,48,220,100,1124,2133,145,1200
load,4,50,230,97,1124,2139,145,1200
load,4,52,230,100,1124,2140,145,1200
load,4,54,230,58,1124,2103,145,1200
load,4,56,221,97,1124,2134,145,1200
load,4,58,231,97,1124,2143,145,1200
load,4,60,230,100,1124,2139,145,1200
load,4,62,231,66,1124,2105,145,1200
load,4,64,221,97,1124,2139,145,1200
load,4,66,233,100,1124,2151,145,1200
load,4,68,231,97,1124,2143,145,1200
load,16,0,42,100,456,188,145,1200
load,16,2,172,100,1124,2117,145,1200
load,16,4,172,88,1124,2100,145,1200
load,16,6,173,56,1124,2134,145,1200
load,16,8,174,90,1124,2103,145,1200
load,16,10,159,100,1124,2196,145,1200
load,16,12,171,88,1124,2100,145,1200
load,16,14,171,88,1124,2100,145,1200
load,16,16,175,90,1124,2120,145,1200
load,16,18,175,89,1124,2108,145,1200
load,16,20,156,90,1124,2114,145,1200
load,16,22,172,88,1124,2090,145,1200
load,16,24,172,100,1124,2181,145,1200
load,16,26,174,90,1124,2125,145,1200
load,16,28,174,0,1124,2087,145,1200
load,16,30,157,90,1124,2127,145,1200
load,16,32,172,100,1124,2203,145,1200
load,16,34,173,72,1124,2128,145,1200
load,16,36,174,90,1124,2107,145,1200
load,16,38,175,96,1124,2103,145,1200
load,16,40,156,100,1124,2081,145,1200
load,16,42,173,100,1124,2094,145,1200
load,16,44,173,100,1124,2175,145,1200
load,16,46,175,100,1124,2108,145,1200
load,16,48,175,88,1124,2101,145,1200
load,16,50,156,100,1124,2107,145,1200
load,16,52,172,100,1124,2120,145,1200
load,16,54,174,88,1124,2098,145,1200
load,16,56,175,100,1124,2096,145,1200
load,16,58,172,11,1124,304,145,1200
load,16,60,164,88,1124,2099,145,1200
load,16,62,172,100,1124,2094,145,1200
load,16,64,174,89,1124,2094,145,1200
load,16,66,176,100,1124,2186,145,1200
